lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,void,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,,1
f72ef22deb194851b0a67ec9f26e9a62,altar,0cb6e1a996684ee1a214e6735f2c93c5,435cc28f50f44ec58364cf73b3a47dd7,rubbie_left,224d1aaad0e14a219afb0ea1addd8fa2,f72ef22deb194851b0a67ec9f26e9a62,,1
7f6abcae47c549c7ab1209a284015bf7,golden_rill,91ba24db5e2a48df809096060166d448,e112531e1ef74ed1a66a46fcde176faa,b4ba0fd02eb044b6ad27c96bc54e363a,e112531e1ef74ed1a66a46fcde176faa,7f6abcae47c549c7ab1209a284015bf7,,1
feb28bf0f29446e69d42c88eb225541b,darkness,a264412b2eb6464fbf997cf0eb399e28,feb28bf0f29446e69d42c88eb225541b,acf689145dd648fe98fe2c7242c4829e,f46f1b35b3fb4be9b993fb0d01c3a58c,feb28bf0f29446e69d42c88eb225541b,,1
0178887faca6453790fab3df22d7b8c6,feathers,fed6f3c2cfec405a897684660b49485e,184bd607484543e18f69579ffc5784bc,30e9324f9bca402b9ff2e33791829837,ab7117bb07b84a28bd3df01255e631f9,0178887faca6453790fab3df22d7b8c6,,1
8582b33aaeb544e08108682802c7ab57,darkness,fcc3f413ffc24d60979ff94f28626006,94fdb772674440bf80c39b14eedff60a,e24d41a3679f4fc8b46f8a47f3398d43,7837bad09b7c4aa9880b51451bd17b62,8582b33aaeb544e08108682802c7ab57,,1
69dd1fb4f4fb4965bbce6548a4f1cea5,golden_rill,c8730d4c851d4e658c7be3a80b796821,754bf2741854482586c3fb4754eac5a4,2d2178554e7940e38d8213228c6c87d6,754bf2741854482586c3fb4754eac5a4,69dd1fb4f4fb4965bbce6548a4f1cea5,,1
c205299c7df446f2bbcf4b05c378207d,golden_rill,251e9d536103424da785b933750f8fa3,tree_1_607ddd52ac2f4eba8fd45b0de21178fd,e110119638a84fecaa9aafc39c795762,tree_1_607ddd52ac2f4eba8fd45b0de21178fd,c205299c7df446f2bbcf4b05c378207d,,1
304fa977831a4367ba9935b8cc4c9dfa,golden_rill,02ec1c35e53d410aa9bcff28dcc744f4,502fec10ca7d4334beb3403a09d657e7,231cdb8095f34c5b94603dd49ccad8f5,502fec10ca7d4334beb3403a09d657e7,304fa977831a4367ba9935b8cc4c9dfa,,1
1874f4d3a64e4ae38d73f70d43c525c7,golden_rill,390499c6f3144c3fbacfa633e329ebaf,ca96b777d5904af59d0708f2d81fbdca,cadab9479a654705a4fe5aa71f6c2562,ca96b777d5904af59d0708f2d81fbdca,1874f4d3a64e4ae38d73f70d43c525c7,,1
45727990dc2c41a3bbd4deb9957c3825,void,78b9c417cce248209bf1574b0f497b7f,4551622aca024196ad418a05aa207a95,dfc04b909f8c40f3a493e38849a93c58,20d92bd071bd402694f87e29e8b786a1,45727990dc2c41a3bbd4deb9957c3825,,1
zoomie_up,arch,2521e9d5112e4cf9ad69cf71b82f0da9,b210c98511e3488db84fa5e288b6e611,f6800d8db37c44a1ac5fed2556d89a44,630a2304d5dd459a814f175c8dc7eb9f,zoomie_up,,1
82b0e9d4e93f4195b5a41d5e161ea316,golden_rill,610a21262a8e4c538b8922bf7b4b9fe9,tree_2_970d1ab00a564a7da160fad0d62bb236,2d425d5d49304b399511c649647ccccf,tree_2_970d1ab00a564a7da160fad0d62bb236,82b0e9d4e93f4195b5a41d5e161ea316,,1
9d1986c8c5bf41ada54ea310af339aa4,golden_rill,4df8069cbfb24a55a815832c79492683,acd88d7d37074a4c949477b3ba54d6a4,eee9d32bc9ac4a0d864a95317a0ca627,acd88d7d37074a4c949477b3ba54d6a4,9d1986c8c5bf41ada54ea310af339aa4,,1
dea9fd4ba3db4b678f2f0dd586ecf60f,darkness,e4c29bb5b878465386ef4c1d978d7a25,c6163bd812904ee28254821475aed9aa,d339f78dd3834702a0c3c485d48c8585,94fdb772674440bf80c39b14eedff60a,dea9fd4ba3db4b678f2f0dd586ecf60f,,1
16e554c6a730422c80128688dafde6c3,grass,49068bbe653a422990113a2c173b7803,032b0ba5cac6437ea91cae051bf63e37,84669c4781134691af2f5ae9b806d7b3,4c511d5b907e4d69b43b504ea4bdc816,16e554c6a730422c80128688dafde6c3,,1
0647ad09b13e4314b3e34d545c91149f,golden_rill_rider,76d6cde406a94aacab3870df6c48222c,77dbc1bb23b34979b7a32949e1c10f14,2120068c224c405696ac367460181b53,lurkroom_0647ad09b13e4314b3e34d545c91149f_134b6181403d4c2594ee062f46abda7d,0647ad09b13e4314b3e34d545c91149f,tut bo boro,1
lurkroom_6f59e70da38247cb9fce1725983d7452_45366ea956ba4dc885c4f381ebf4b34e,cobble,lurkroom_6f59e70da38247cb9fce1725983d7452_58a9dfccd6ee47b886a6f1597663828a,lurkroom_6f59e70da38247cb9fce1725983d7452_6f59e70da38247cb9fce1725983d7452_lurker,lurkroom_6f59e70da38247cb9fce1725983d7452_b61d8be61d074c36a299451e20df0f37,lurkroom_6f59e70da38247cb9fce1725983d7452_28df4952f1744d29ae3900f726023c1e,lurkroom_6f59e70da38247cb9fce1725983d7452_45366ea956ba4dc885c4f381ebf4b34e,,1
863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_8d82b944930f4f03a0becacef431561c,cobble,863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_accc4ba510e8433d9970f66a10a3b39c,863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_863824f344784dbfae9908346c374113_beetle_lurker,863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_9ccaaa5880ff41df893b285417f59412,863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_bd688f0104ff47248266dafcbfa362cd,863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_8d82b944930f4f03a0becacef431561c,,1
pocky_b44cd22619394f5ba2a390a148d9a006,void,pocky_92503179aa47494e9b2e5364d6e3c784,pocky_6583d5cf5c8741a9ad41e7c41fc0d34f,pocky_56d1c36ae9a04520abf5af504ba897e2,pocky_271487e8b51940bba19c5371ac2c74d5,pocky_b44cd22619394f5ba2a390a148d9a006,,1
c08453e5baac4bb6961cafb8e557ae5c,darkness,a0fb569df669465a9a4faafede4b08d8,1e21368cb0cf4ed6a72f13fd80e9d379,eagle_resetter,c08453e5baac4bb6961cafb8e557ae5c,c08453e5baac4bb6961cafb8e557ae5c,,1
3996ca7b2b2f47ab818638a324837103,rill,86b509b4a4a1489693ff6475ef5d50eb,7a39a87118cb44bcacc85b589e7608cc,2bf3cd834c9a46e99e15d515845fefb1,7a39a87118cb44bcacc85b589e7608cc,3996ca7b2b2f47ab818638a324837103,,1
d60b29ba9a6d4b698349f58c3f9ac92e,darkness,ea0fe69c2b2e4e3ba0e0cb9384389e5a,d71b82e8d5e14bb4b655155714b96f4d,5263240af856468891ce79b606aa4399,8ddc8b67592843bf89f497f67bc0533a,d60b29ba9a6d4b698349f58c3f9ac92e,,1
f019b365051241d3ad759aab8a536436,golden_rill,74edc3698a714d6bac1e9154bc856480,e5adfd30bb6f46b3be72f46d9d157d34,15c5e5003af1405a8d4d03711d81735d,e5adfd30bb6f46b3be72f46d9d157d34,f019b365051241d3ad759aab8a536436,,1
52bf15f78cbd4771b359f01371539f8a,golden_rill,dff2663568794f569280911c7884e0a6,9f79fdad7e014382b5a3bd9add8bfa00,e753ab0dec664dd181c0d6f6a75c94b1,9f79fdad7e014382b5a3bd9add8bfa00,52bf15f78cbd4771b359f01371539f8a,,1
boogie,void,498458cf834b45cd96404dac0d2492fe,6af327182f38489488e1132e03fe64c0,a89213a56bb34b529e4ce93582d3c74f,1ee599b6588141898a26b6e3ef464a85,boogie,,1
11b97e1ecdbc4f76b56c4b0835bcdf94,water_light,03e7a6675571462e8ea11b00e8167d77,749941e6af7c4b94bc5dc36b28ca11ec,flower_entrance,f6cb51e2a2eb4ca19fd479ac3ad39f17,11b97e1ecdbc4f76b56c4b0835bcdf94,,1
0658baa85d9c426bab90a86161d8ed92,golden_rill,bed16ecf1045421f952d3e51b05d5a29,967bb7d40f3a4d1f95272cbcc0e2ad7a_3be480e59014494d9dd5ee6546a33c1f,e30fcd52a4b0445aa44070d57d0c3b51,967bb7d40f3a4d1f95272cbcc0e2ad7a_3be480e59014494d9dd5ee6546a33c1f,0658baa85d9c426bab90a86161d8ed92,,1
28b346b952e843a89c3572b79454d1a9_a4f8aa9900ab4c2ebee07b7a2508670e,stone,28b346b952e843a89c3572b79454d1a9_32149c4f81c143119cfc1ef2506df6a6,28b346b952e843a89c3572b79454d1a9_48e6e16d807c46948656752599649075,28b346b952e843a89c3572b79454d1a9_b50512b57423473a875eca0ebd51dd3c,28b346b952e843a89c3572b79454d1a9_659ac8f63cd24f37938ec6b0b4242a1b,28b346b952e843a89c3572b79454d1a9_a4f8aa9900ab4c2ebee07b7a2508670e,,1
45b72403071643ee8c05dd56442e2461,golden_rill,d631ac9ee4004e1cb1e198c73b7ebef0,pocky_0d79eeba41b8416098498c6ed9dedff0,472de37eb2034e8892dd120d86e91bc3,pocky_0d79eeba41b8416098498c6ed9dedff0,45b72403071643ee8c05dd56442e2461,,1
863824f344784dbfae9908346c374113_629b25914e794fe59f95ab9b833a80b6,bog,863824f344784dbfae9908346c374113_251d7a29fc254a05aee3c6b3f00c33ff,863824f344784dbfae9908346c374113_start,863824f344784dbfae9908346c374113_a33c88516b5e4b959d0f26706014ab11,863824f344784dbfae9908346c374113_entrance,863824f344784dbfae9908346c374113_629b25914e794fe59f95ab9b833a80b6,,1
9abd88a892f3449fa1c6e509ae2ff695,darkness,4c1c1c2d897c4b52b620c961fe83f7c8,7837bad09b7c4aa9880b51451bd17b62,c2be222f2a7346f8b1dd5833640a14f0,9abd88a892f3449fa1c6e509ae2ff695,9abd88a892f3449fa1c6e509ae2ff695,,1
026abe769087418891b8a3a41a633873,golden_rill,e131f607fcb6477185c618557b0e8049,fb9147054103489d844f0224789d8389,3a9b1534468c487e9a07e563211014c1,fb9147054103489d844f0224789d8389,026abe769087418891b8a3a41a633873,,1
bdd9c2f407d24692b1da8b07721f12db,stone,bdd9c2f407d24692b1da8b07721f12db,4c511d5b907e4d69b43b504ea4bdc816,golden_rill_origin,54b7da94e9e5468f9a560ca593879a2f,bdd9c2f407d24692b1da8b07721f12db,,1
f43bf5865484445fbb6dfa44765c0777,golden_rill,c1071b92bdcb4a37915547cfd9bd0201,76a7b44112a6488cb6c6b927e93f4b9b,1b44c180c7c04137b95b75bc09aab126,76a7b44112a6488cb6c6b927e93f4b9b,f43bf5865484445fbb6dfa44765c0777,,1
54481f62057f48289982774017a22255_d4dd5268cf484652aea81e6a26332b98,void,54481f62057f48289982774017a22255_601b2017f8b6488abbee41c017752871,54481f62057f48289982774017a22255_eac3303310f349a8952deacc4d05436e,54481f62057f48289982774017a22255_1bae7d4a52ea4ca89e551ff8e7fbd2f6,54481f62057f48289982774017a22255_eye,54481f62057f48289982774017a22255_d4dd5268cf484652aea81e6a26332b98,tut popo poporo/ tut po poro,1
lurkroom_5a6d22348d71457eb3703f25f3a92b18_1435d1ccbff04fbbb651a84d43538bd4,stone,lurkroom_1db850520408412dbf0165f81bf6912d_835c250e4dc64f2ebc8fd967a415ca6d,lurkroom_5a6d22348d71457eb3703f25f3a92b18_1435d1ccbff04fbbb651a84d43538bd4,lurkroom_5a6d22348d71457eb3703f25f3a92b18_6271a32cb5e94f01b25cf4f8a27ecd11,lurkroom_5a6d22348d71457eb3703f25f3a92b18_873108c62c0b4f87a2c0bec7f2aa4e9c,lurkroom_5a6d22348d71457eb3703f25f3a92b18_1435d1ccbff04fbbb651a84d43538bd4,,1
be5793fe7ad34b8dbf18808542137dc5,golden_rill,cbf534551c064357b1d881a10c1ae472,54481f62057f48289982774017a22255_d4dd5268cf484652aea81e6a26332b98,908dc2518b4b418092b2fb63ed488c63,54481f62057f48289982774017a22255_d4dd5268cf484652aea81e6a26332b98,be5793fe7ad34b8dbf18808542137dc5,,1
002511f118c74e39abf609a2c49cfe17,golden_rill,9eff4e736ca141a788109d135c4852bc,af4ec1a0a7644d35a80e2b97d1b483e7,d11411ea90634314ae18ecbc7edbc8d9,af4ec1a0a7644d35a80e2b97d1b483e7,002511f118c74e39abf609a2c49cfe17,,1
333ac11a01b346edb217737637b71080,darkness,18cffedd9073411f8c1fea48877e1d58,d10d7699a20145339da9f41af9098c6f,b12735bc1d5e41fa85eed91258b44b87,9b8ee01145524dad821f104028f90a73,333ac11a01b346edb217737637b71080,,1
a578bc4aa02747779a9515513371873f,golden_rill,0125d53c6c274800ae2409eab43175c1,pocky_55cfd0ccc0a749a2a479a3bc80cde067,30b822235cba4288b60092165e274b62,pocky_55cfd0ccc0a749a2a479a3bc80cde067,a578bc4aa02747779a9515513371873f,,1
51e9dee2c43440d1b55585cb910a6b94,golden_rill,d08b88fcb7e8448c9e53c9a9bb2b5bcf,75ae44dd6c7349e4880de0398dae3c35_636dcf90ce484d83b12f58ea937c9a43,b2de533efd724cc6a27bc09ae52b5a57,75ae44dd6c7349e4880de0398dae3c35_636dcf90ce484d83b12f58ea937c9a43,51e9dee2c43440d1b55585cb910a6b94,,1
69529300b4e14b87bee14a1a665630bd,void,75af0dc34af0468b934ca533bf0614d8,07b0a944b8324501bd454f71f11c1239,18dc39d24786415895588ba6460ce222,873e780a50b04ca8ae26d73dd2305c7d,69529300b4e14b87bee14a1a665630bd,,1
828fafc8c9244679be6b1d17b020e036,golden_rill,f8b935b4339246d89d22c9fb6dca4985,5145443ad3de4bd9ac97d07febedda8a,eb909e50e5d34d2eb10b84dfc2cc4ce8,5145443ad3de4bd9ac97d07febedda8a,828fafc8c9244679be6b1d17b020e036,,1
d811328d56f545ed9424ac891cdfae7e,golden_rill,cc4ece559b3447d2be12269b82951cdb,8,bf98f2b0270a434fa84ee28a97cdf38a,8,d811328d56f545ed9424ac891cdfae7e,,1
47d8173f17db418abb2cfc9751bc5434,golden_rill,dd46e342129f4b34934e453e47d0d02f,7e84f9af20da4dadb0bde8324274022e,b848102a4d054d8fb55eedf401695357,7e84f9af20da4dadb0bde8324274022e,47d8173f17db418abb2cfc9751bc5434,,1
4a3bfa3bf87c4ca8b21d348c9e7b0e90,golden_rill,5a24224b884b4fba9a9cb46e66e420b4,30002bd3a9e4430eb006beeb70413d11,afb2b04b678e44ceb3e00a609241197b,30002bd3a9e4430eb006beeb70413d11,4a3bfa3bf87c4ca8b21d348c9e7b0e90,,1
70829a669d334e01b3c98918172f1958,golden_rill,1e9f375c66fd4011a4b8e422b4191669,2ed7e22393464a27adce544d15b97877_5e4232030c9f4cfea72602b8e6deb29d,f658c6fb574d45cb8d35c5798a0b7af6,2ed7e22393464a27adce544d15b97877_5e4232030c9f4cfea72602b8e6deb29d,70829a669d334e01b3c98918172f1958,,1
54481f62057f48289982774017a22255_f2d42a7183df4cd0beb2cea7ec59d738,void,54481f62057f48289982774017a22255_46b4a615f5b04a40b62a95dde38f46fb,54481f62057f48289982774017a22255_cde57706232e4f89a30b38a65f3cbde6,54481f62057f48289982774017a22255_eye,54481f62057f48289982774017a22255_f2d42a7183df4cd0beb2cea7ec59d738,54481f62057f48289982774017a22255_f2d42a7183df4cd0beb2cea7ec59d738,,1
8ccf5696c65f4d8b82bbfbf4b25d3785,golden_rill,4d605a99526e49739601fa0d6ec80757,9bdb358e876c499cba362eaeee110179,685bab5d021d4f89aa580293e7ed30fc,9bdb358e876c499cba362eaeee110179,8ccf5696c65f4d8b82bbfbf4b25d3785,,1
316ebe1530ea479db1658fe9b5549cf4,golden_rill,163a78a2a13c4c248f48f159104490c3,6e94fba5822b496fbcebcfd1375f0176,342723caff4a4dcfb85cd2f25859da71,6e94fba5822b496fbcebcfd1375f0176,316ebe1530ea479db1658fe9b5549cf4,,1
1de241dbee5b45c49abb3fd937ccb218,golden_rill,16526e4d344e4d018fde098204ce372f,d5765eda7e94490ea2432aa033e83091,a80d159f2bed4624b3ac79737d3402ac,d5765eda7e94490ea2432aa033e83091,1de241dbee5b45c49abb3fd937ccb218,,1
f2f8d9cba87e4b9dbb2833604542f7bb,void,9f8147c8999d49d4b86b04f040eeebac,f2f8d9cba87e4b9dbb2833604542f7bb,0d2b21b746ae4ee496cb0cacf409fa87,bc19b44bb86b4b0d8684a02989639ca7,f2f8d9cba87e4b9dbb2833604542f7bb,,1
ea3828f5110043d598d3b8393bb11a3e,grass,92a4891a141a42e09846edb6ab4f2ea9,e287b727c3494f3da776eb7e57b668bb,castle_courtyard_entrance,ea3828f5110043d598d3b8393bb11a3e,ea3828f5110043d598d3b8393bb11a3e,,1
175f25f9c2a1450b97c5127dcda25a85,golden_rill,b9499d10df2e4ad9801d26c71efcbda9,38fdbfd9063a4d818f1bb0ab37608e85,4f321da816c145be8aeba19374bc3d22,38fdbfd9063a4d818f1bb0ab37608e85,175f25f9c2a1450b97c5127dcda25a85,,1
9f2d0fc09e2e4369934c555acf19dd67,golden_rill,f11616c4b4f540a7a13e298c8c46f755,9b963c07941f46ef8e294af5cf611f18,f77f31bd05de4da68c8e0f11361ce6a1,9b963c07941f46ef8e294af5cf611f18,9f2d0fc09e2e4369934c555acf19dd67,,1
219c85f8a0a349f8bb2035540500a41f_down,letter_c,ea3828f5110043d598d3b8393bb11a3e,bf6096990a454fbca4a4365e7e7eee32,c505778c866b443480bc83c58aacec64,castle_courtyard_entrance,219c85f8a0a349f8bb2035540500a41f_down,,1
f274583dd8dd468ba44ab6ac67cf52c2,golden_rill,1d73be15d30b43b58bfa06a8dc867740,d85495d8362f4d12876c1c3150f10a67,b21002e50d5a4bff835ce1f641ae5c2b,d85495d8362f4d12876c1c3150f10a67,f274583dd8dd468ba44ab6ac67cf52c2,,1
e28642aa2a16439ca981b681cbd3bed7,poison,f0171c55eafe441d92d4661a62b70720,d392a8848a6549629ea52a12dbf76f87,e3a5f8eaacd2437da5125fec446def36,green_room_entrance,e28642aa2a16439ca981b681cbd3bed7,,1
f3f8ea6b915d416697e631acf3cdf507,golden_rill,019cd9a8022944699e5bb6bf78e217b3,lurkroom_1db850520408412dbf0165f81bf6912d_9a3d9bba008c4b73b23970a33af5e4c6,74edc3698a714d6bac1e9154bc856480,lurkroom_1db850520408412dbf0165f81bf6912d_9a3d9bba008c4b73b23970a33af5e4c6,f3f8ea6b915d416697e631acf3cdf507,,1
12978172b6b14f5cb8c0ad9a4fc1afd3,golden_rill,1129d1ad340b4d419e7a35306185f2a5,6ceecc1cabf74f08bbb224b2d891335d,53d6012e5e61499082bb2724c963c214,6ceecc1cabf74f08bbb224b2d891335d,12978172b6b14f5cb8c0ad9a4fc1afd3,,1
9cbdc145d0e04864bb58b49ef7a0c5dc,stone,99d11db2fabf4d518d084db673043d0d,ebc4c239038e4418a064e3d79ec6e0db,25534ff5498c4e79aa2f4aa851db4405,8b8fb64d89c3439fb7137213689aeffc,9cbdc145d0e04864bb58b49ef7a0c5dc,,1
417ea7ccae1f407597f074820ce136d0,golden_rill,28c8ec28a7514af0b569f5dbf4b54e1f,75a371c06ec54b9d89d86a8aa260de69,939ca1c0f59c4442bfe78d93b5ff5926,75a371c06ec54b9d89d86a8aa260de69,417ea7ccae1f407597f074820ce136d0,,1
c2895853d56f49bb9c4b1d0b788a86d8,golden_rill,2c461bca995e4fbab8c62f6b89a253bf,4313e82ef53a4aa3afea1851d62c2373,b267980c35444f838d681ccc1b930917,4313e82ef53a4aa3afea1851d62c2373,c2895853d56f49bb9c4b1d0b788a86d8,,1
91d6aeae1b244ff2b7ad8f5b99278ff6,golden_rill,cf13f8b516464d10a7cfa46f559fc069,fd2da2c45fd641dc8b7a78e630e9207a,7d0b35bdd42c4d858db67f5eadd548d7,fd2da2c45fd641dc8b7a78e630e9207a,91d6aeae1b244ff2b7ad8f5b99278ff6,,1
39614b3ad9a145bb9c0fce14022e2302,golden_rill,9617f669ce4249dd828dd21b22ea1a13,2ed7e22393464a27adce544d15b97877_bb0c6842aee5415e9517207b17fdd4d7,a2113ecf7e344112862b5878dcfab7ea,2ed7e22393464a27adce544d15b97877_bb0c6842aee5415e9517207b17fdd4d7,39614b3ad9a145bb9c0fce14022e2302,,1
08c83913f620461ba0450468cea2678a_8e245b26d5cf41bf81aeb8dc36de5bc4,void,08c83913f620461ba0450468cea2678a_71f13043375340bca34420c8a994534f,08c83913f620461ba0450468cea2678a_5e6dbcc94cc84a1ba23d7226f6a60ee9,08c83913f620461ba0450468cea2678a_ad5e40e784d14e4f933004d87a920181,08c83913f620461ba0450468cea2678a_8e245b26d5cf41bf81aeb8dc36de5bc4,08c83913f620461ba0450468cea2678a_8e245b26d5cf41bf81aeb8dc36de5bc4,,1
755f0d37f3e4464f900ee5dcbbf9c3cd,void,void,void,void,void,755f0d37f3e4464f900ee5dcbbf9c3cd,,1
16b3fb10fed24660b511af1f5b22ecf6,golden_rill,b549314e520a4a45ab4553b5ea16d5dc,8295f5b4cab74e208ba3543197673eee,6a6f537405d24392bb70519e29823574,8295f5b4cab74e208ba3543197673eee,16b3fb10fed24660b511af1f5b22ecf6,,1
53005267f9624f2b8b43ceec0e7cb897,golden_rill,2b8e1b8669294557bf6bb3aa23a72401,863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_4f381cdc73c744108eb81b1bc3476329,3c6926ac71cc4d3281bf2bb53c6213e4,863824f344784dbfae9908346c374113_lurkroom_863824f344784dbfae9908346c374113_beetle_4f381cdc73c744108eb81b1bc3476329,53005267f9624f2b8b43ceec0e7cb897,,1
6f24f35a309e4685b299c89b3815b42f,darkness,54154f79bb594ad5be2aa0f7cea53f6e,fcc3f413ffc24d60979ff94f28626006,7837bad09b7c4aa9880b51451bd17b62,4c1c1c2d897c4b52b620c961fe83f7c8,6f24f35a309e4685b299c89b3815b42f,,1
b5b6851632ab4062b0c08e7740e79374,golden_rill,32c5984b5d084f4fb9b1f114fac446cb,e28642aa2a16439ca981b681cbd3bed7,70e40454b8ab422689ff79f8b8533659,e28642aa2a16439ca981b681cbd3bed7,b5b6851632ab4062b0c08e7740e79374,,1
af357cbc4f5f47199b91e7675aaa78ff,golden_rill,cbf6dda5804840508e5aa51e94eb3a47,259d121482d74dfcbd1c03007cbe03ab,44c5cddb7d8f4d8aa6a539efdff5f7a6,259d121482d74dfcbd1c03007cbe03ab,af357cbc4f5f47199b91e7675aaa78ff,,1
4e70b842c07045dab53339eda35051a9,rill,14ef059c7da349679496f4f85bffe25d,7268e2e3c5314bfd8f1e1c641908cf1e,f8a6a0de5ca84da0bffb234439f0722d,7268e2e3c5314bfd8f1e1c641908cf1e,4e70b842c07045dab53339eda35051a9,,1
6a71a37bfc13404d90555a8e32a442f8,golden_rill,b63dd99795994fbe96f322c0eaf73876,2ed7e22393464a27adce544d15b97877_c83874d049ff4eeca5fecfba1d5dada2,00bf8a9dbe1e4b5bb69399628c57386b,2ed7e22393464a27adce544d15b97877_c83874d049ff4eeca5fecfba1d5dada2,6a71a37bfc13404d90555a8e32a442f8,,1
a267f0524ea04b8bb256ce3b25b56186,golden_rill,e23df36a006c4500a8cf685a3e851991,863824f344784dbfae9908346c374113_4816ea415c01480db16a7af95311831f,8e5049a7aec446e59b3bcc572670b998,863824f344784dbfae9908346c374113_4816ea415c01480db16a7af95311831f,a267f0524ea04b8bb256ce3b25b56186,,1
ccbb6079635c4adf867ea4097fe0cf2f,golden_rill,f6c4ffaa45a744acb68f17bcb95cd9d5,8d94a81445774e6f91bde0ca6adb7633,7e0e277577974cb2bcd35e063ec647d4,8d94a81445774e6f91bde0ca6adb7633,ccbb6079635c4adf867ea4097fe0cf2f,,1
